0.0055977,0.0020521,0.36661,0.97468,5,1
0.0055977,0.0020521,0.36661,0.97468,5,2
0.0049689,0.0019567,0.39378,0.98538,6,1
0.0049689,0.0019567,0.39378,0.98538,6,2
0.0080006,0.0029531,0.36911,0.9715,7,1
0.0080006,0.0029531,0.36911,0.9715,7,2
0.011524,0.005364,0.46546,0.94204,8,1
0.011524,0.005364,0.46546,0.94204,8,2
0.0022031,0.00059793,0.2714,0.99564,9,1
0.0022031,0.00059793,0.2714,0.99564,9,2
0.0058008,0.0033804,0.58274,0.96278,10,1
0.0058008,0.0033804,0.58274,0.96278,10,2
0.0023647,0.0013368,0.5653,0.98459,12,1
0.0023647,0.0013368,0.5653,0.98459,12,2
0.011368,0.0048789,0.42918,0.93312,13,3
0.030613,0.012066,0.39414,0.82838,13,4
0.020889,0.0071733,0.3434,0.83262,13,5
0.013033,0.0044655,0.34263,0.89338,13,6
0.005913,0.0018492,0.31274,0.94709,13,7
0.0082927,0.0015478,0.18664,0.98324,13,8
0.012277,0.006965,0.56731,0.98287,14,1
0.012277,0.006965,0.56731,0.98287,14,2
0.0079992,0.0016161,0.20204,0.98526,15,1
0.0079992,0.0016161,0.20204,0.98526,15,2
0.0049831,0.0023249,0.46655,0.98228,16,1
0.0049831,0.0023249,0.46655,0.98228,16,2
0.013092,0.005473,0.41804,0.91102,18,1
0.0064379,0.0020125,0.31261,0.96331,18,2
0.01159,0.0053876,0.46485,0.94754,18,3
0.011203,0.002185,0.19505,0.9539,19,1
0.010506,0.0020257,0.19282,0.96052,19,2
0.0041504,0.0011157,0.26883,0.98963,19,3
0.010179,0.0036789,0.3614,0.96551,20,1
0.0068471,0.0025842,0.37742,0.97146,20,2
0.0041732,0.0012518,0.29995,0.9928,20,3
0.014108,0.0019547,0.13856,0.9552,21,1
0.013029,0.0022297,0.17114,0.96414,21,2
0.0037534,0.0012246,0.32626,0.99019,21,3
0.0075042,0.0015959,0.21267,0.97855,22,1
0.0060351,0.0016317,0.27037,0.98278,22,2
0.0027339,0.00052199,0.19093,0.99566,22,3
0.0048011,0.00097404,0.20288,0.98831,23,1
0.0041073,0.00084889,0.20668,0.98828,23,2
0.004191,0.00070155,0.16739,0.99529,23,3
0.0058076,0.00096137,0.16554,0.98615,24,1
0.0042326,0.00092264,0.21798,0.98847,24,2
0.0019745,0.00035658,0.18059,0.99631,24,3
0.0061228,0.0015703,0.25647,0.98287,25,1
0.0057831,0.0011939,0.20645,0.98646,25,2
0.0026899,0.00064683,0.24046,0.99614,25,3
0.0047358,0.0011752,0.24816,0.98722,26,1
0.0047358,0.0011752,0.24816,0.98722,26,2
0.0017949,0.00044798,0.24958,0.99817,27,1
0.0017949,0.00044798,0.24958,0.99817,27,2
0.0055898,0.0014305,0.25591,0.98641,28,1
0.0055898,0.0014305,0.25591,0.98641,28,2
0.0026903,0.0012926,0.48047,0.99235,29,1
0.0026903,0.0012926,0.48047,0.99235,29,2
0.0025103,0.00041947,0.1671,0.99749,30,1
0.0025103,0.00041947,0.1671,0.99749,30,2
0.0054442,0.0017041,0.31301,0.9917,32,1
0.0054442,0.0017041,0.31301,0.9917,32,2
0.0052919,0.0031578,0.59672,0.98122,33,1
0.0052919,0.0031578,0.59672,0.98122,33,2
0.0081121,0.0011151,0.13746,0.98841,34,1
0.0081121,0.0011151,0.13746,0.98841,34,2
0.0051449,0.0020086,0.3904,0.98252,35,1
0.0051449,0.0020086,0.3904,0.98252,35,2
0.10385,0.038318,0.36899,0.66948,36,1
0.096055,0.050849,0.52937,0.76336,36,2
0.042449,0.022504,0.53014,0.76342,36,3
0.034332,0.02179,0.63468,0.78121,36,4
0.036895,0.019231,0.52123,0.78439,36,5
0.034276,0.019641,0.57303,0.78355,36,6
0.031745,0.019807,0.62393,0.7845,36,7
0.032154,0.018446,0.57368,0.78839,36,8
0.030981,0.015889,0.51286,0.79613,36,9
0.016614,0.013126,0.79007,0.92222,36,10
0,0,1,0.80393,37,1
0.028655,0.015081,0.52628,0.74008,37,2
0.033983,0.0166,0.48848,0.73578,37,3
0.034534,0.017182,0.49753,0.73419,37,4
0.032785,0.016556,0.50498,0.73351,37,5
0.031825,0.016206,0.50921,0.73334,37,6
0.031672,0.016124,0.50908,0.73314,37,7
0.035134,0.01779,0.50634,0.73251,37,8
0.041336,0.019714,0.47693,0.73203,37,9
0.049054,0.022469,0.45804,0.71865,37,10
0.0067664,0.0035394,0.52309,0.97632,38,1
0.0067664,0.0035394,0.52309,0.97632,38,2
0.0036572,0.00092562,0.25309,0.98775,39,1
0.0036572,0.00092562,0.25309,0.98775,39,2
0.0071255,0.0022458,0.31518,0.9665,40,1
0.0071255,0.0022458,0.31518,0.9665,40,2
0.0033408,0.0021742,0.65079,0.98584,42,1
0.0033408,0.0021742,0.65079,0.98584,42,2
0.0079755,0.0038633,0.4844,0.9837,43,1
0.0079755,0.0038633,0.4844,0.9837,43,2
0.0044938,0.0014851,0.33048,0.9868,44,1
0.0044938,0.0014851,0.33048,0.9868,44,2
0.0028905,0.00088745,0.30702,0.99231,45,1
0.0028905,0.00088745,0.30702,0.99231,45,2
0.0068411,0.0032055,0.46857,0.97436,47,1
0.0068411,0.0032055,0.46857,0.97436,47,2
0.0039705,0.001203,0.30299,0.98339,49,1
0.0041506,0.0012348,0.29751,0.98334,49,2
0.0053891,0.0013093,0.24295,0.98533,50,1
0.0053891,0.0013093,0.24295,0.98533,50,2
0.014457,0.0028509,0.19721,0.92019,51,1
0.014457,0.0028509,0.19721,0.92019,51,2
